STATUS,PRIORITY,START DATE,END DATE,DURATION,TASK NAME,ASSIGNEE,DESCRIPTION,MAN-DAY
"⬜ TODO","🔴 P0","2026-08-20","2026-08-22","3d","API: Approval Endpoints + Authorization Middleware","API Dev","Approval endpoints headsale tier + salemanager tier, authorization preHandler per-endpoint role matrix + record-level rules from project-access-control identity from JWT sub only, approval history query, reject-with-reason flow","3"
"⬜ TODO","🟡 P1","2026-08-20","2026-08-27","8d","UI: HeadSale Approve Zone","UI Dev","Approve Zone to-do cards filtered by request type scoped to headsale's teams via matrix, approval list, Approval Detail screen Register+PM view Entry comparison approval history Approve/Reject with reason required","5"
"⬜ TODO","🟡 P1","2026-08-28","2026-09-01","5d","UI: Manager Supervisor Tier","UI Dev","Supervisor-tier approval list/detail waitingSupervisorWon/Lost only, ระบุ Leader Project list + compare Entries + assign Leader action","4"
"⬜ TODO","🟡 P2","2026-08-23","2026-08-26","4d","UI: Entry Comparison Page","UI Dev","Side-by-side Entry comparison cost/GP/BOM visible to all Sales accepted risk, revision history viewer, leader flag display","3"
"⬜ TODO","🟢 P3","2026-08-27","2026-08-29","3d","API: Admin Config Routes","API Dev","CRUD for team+user↔team matrix, competitor brand, org type, lost reason, collapse reason, notification threshold config","2"
"⬜ TODO","🟢 P3","2026-09-02","2026-09-04","3d","UI: Admin Config Screens","UI Dev","Team management matrix assign user↔team designate headsale, Competitor Brand CRUD, Org Type CRUD, Lost/Collapse Reason CRUD, Notification threshold near_due_days slider","3"
"⬜ TODO","🟡 P2","2026-09-05","2026-09-08","4d","UI: Notification System (In-App Bell)","UI Dev","Notification bell merge near-due computed list + unread notification events, role-scoped filtering, mark-as-read, event notifications collapse alerts to team leads + all managers","3"
"⬜ TODO","🟡 P2","2026-09-09","2026-09-10","2d","LINE OA Setup + Channel Registration","Tech Lead","ปิดคำถาม 9b.12-9b.13: เลือก LINE OA ใหม่/ใช้ร่วม, สมัคร Messaging API channel, ขอ Channel Access Token, ตั้งค่า webhook URL, สมัคร LINE Login channel ถ้าใช้ account linking","1"
"⬜ TODO","🟡 P2","2026-09-09","2026-09-12","4d","API: LINE Push Notification Service","API Dev","LINE account-linking endpoint map SSO user ↔ LINE userId, push notification dispatch service async queue, Flex Message template builder per event type เฉพาะ รออนุมัติ+ล่ม-แจ้งหัวหน้า ไม่ push ทุก state change, deep-link button to web app, quota tracking + error handling exceeded/blocked","3"
"⬜ TODO","🟡 P2","2026-09-11","2026-09-14","4d","UI: LINE Account Linking + Notification Preferences","UI Dev","ผูกบัญชี LINE page scan QR/LINE Login flow, linked-status indicator, banner เตือนเมื่อยังไม่ผูก, LINE notification preference toggle per event type, preview Flex Message templates","2"
"⬜ TODO","🟡 P2","2026-09-15","2026-09-22","8d","Responsive Redesign (Mobile)","UI Dev","ออกแบบ+implement card/accordion pattern แทนตารางกว้างสำหรับ PM task 3 ระดับและตารางเปรียบเทียบ Entry งานออกแบบยาก ต้อง mockup + ทดสอบกับ Sales/หัวหน้าจริง, responsive ทุกหน้าตาม breakpoint, mobile-first form layouts, touch-friendly buttons","5"
"⬜ TODO","🟡 P2","2026-09-15","2026-09-19","5d","Server-Side Validation Coverage","API Dev","Validate every field the prototype only validated client-side: required fields on all 4 status-update forms, transition legality, file type/size, authorization rules, duplicate submission race conditions","2"
"⬜ TODO","🔴 P0","2026-09-23","2026-09-30","8d","Integration Testing + Bug Fixes","Both","Walk all 29+ acceptance scenarios D1-D31 against real API: state machine transitions, approval flows, authorization role-level + record-level, concurrency simultaneous duplicate-check project_code collision, token expiry/refresh, LINE push delivery","6"
"⬜ TODO","🔴 P0","2026-10-01","2026-10-06","6d","UAT + Sign-off","Both","Deploy to staging, UAT with Sales/HeadSale/Manager roles, collect feedback, fix critical bugs, sign-off document","4"
"⬜ TODO","🟡 P2","2026-10-07","2026-10-08","2d","SSO Registration (External Coordination)","Tech Lead","ประสานทีม SSO: ลงทะเบียน client_id/client_secret, แจ้ง redirect_uri production URL, ขอตั้งค่า group_role_map sales/headsale/salemanager/admin, ขอ public.pem + กระบวนการ rotate key","1"
"⬜ TODO","🔴 P0","2026-10-07","2026-10-09","3d","Production Deployment + Monitoring","API Dev","Set up hosting TBD 9b.9, CI/CD pipeline, PostgreSQL production instance, SSL, environment variables, health check endpoint, basic monitoring/alerting","2"
"⬜ TODO","🟡 P2","2026-10-10","2026-10-14","5d","Go-Live + Hypercare","Both","Production release, monitor error rates/performance/LINE push delivery, on-call support first 2 weeks","2"
